8100;combined;108591;191303;5813;8100;dp_quick;150950;40087;3352;8100;insertion;16263352;16271463;400991;8100;merge;94974;210416;10807;8100;quick;133493;55581;3450
8200;combined;110359;194029;5891;8200;dp_quick;113459;47253;3162;8200;insertion;17010917;17019122;418859;8200;merge;96263;213232;10936;8200;quick;123482;54654;3354
8300;combined;111677;196417;5922;8300;dp_quick;119009;44698;3174;8300;insertion;17098810;17107119;421243;8300;merge;97517;216232;11083;8300;quick;128124;59260;3496
8400;combined;113433;199138;5989;8400;dp_quick;134414;52067;3492;8400;insertion;17752736;17761152;437852;8400;merge;98960;219232;11223;8400;quick;131103;64838;3668
8500;combined;115198;201900;6079;8500;dp_quick;127225;43339;3233;8500;insertion;18160813;18169319;447166;8500;merge;100306;222232;11359;8500;quick;134132;66786;3755
8600;combined;117388;205143;6169;8600;dp_quick;126862;47107;3337;8600;insertion;18575404;18584014;457436;8600;merge;101568;225232;11546;8600;quick;124712;56045;3445
8700;combined;119336;208130;6255;8700;dp_quick;144647;45410;3485;8700;insertion;18676542;18685247;459824;8700;merge;102876;228232;11690;8700;quick;133573;72127;3871
8800;combined;120724;210372;6302;8800;dp_quick;133275;48358;3469;8800;insertion;19362526;19371338;476787;8800;merge;104283;231232;11844;8800;quick;132773;58919;3595
8900;combined;122885;213676;6377;8900;dp_quick;138415;51432;3594;8900;insertion;19700678;19709585;485088;8900;merge;105629;234232;11950;8900;quick;147863;71364;4043
9000;combined;124281;216008;6444;9000;dp_quick;138112;44233;3443;9000;insertion;20445795;20454800;503394;9000;merge;107060;237232;12106;9000;quick;141807;66343;3857
9100;combined;126528;219347;6539;9100;dp_quick;139747;50600;3622;9100;insertion;20830515;20839625;512786;9100;merge;108306;240232;12274;9100;quick;135807;64964;3792
9200;combined;128074;221823;6620;9200;dp_quick;140614;49596;3615;9200;insertion;21066986;21076198;518610;9200;merge;109661;243232;12439;9200;quick;133998;63435;3742
9300;combined;130095;224871;6687;9300;dp_quick;142195;52007;3708;9300;insertion;21817509;21826820;537014;9300;merge;111062;246232;12598;9300;quick;141892;64970;3897
9400;combined;132141;227924;6747;9400;dp_quick;150099;50769;3767;9400;insertion;21964545;21973954;540627;9400;merge;112342;249232;12714;9400;quick;158758;76080;4304
9500;combined;134134;230920;6859;9500;dp_quick;155963;50304;3813;9500;insertion;22754995;22764505;560150;9500;merge;113668;252232;12833;9500;quick;156672;77559;4312
9600;combined;135698;233509;6914;9600;dp_quick;140817;50239;3684;9600;insertion;23012910;23022519;566409;9600;merge;114982;255232;13006;9600;quick;145834;65754;3995
9700;combined;137708;236551;7011;9700;dp_quick;156861;51374;3883;9700;insertion;23736492;23746198;584279;9700;merge;116298;258232;13170;9700;quick;149026;73396;4191
9800;combined;139845;239624;7089;9800;dp_quick;150355;49131;3802;9800;insertion;23807308;23817116;586088;9800;merge;117777;261232;13297;9800;quick;159943;74179;4344
9900;combined;141559;242413;7119;9900;dp_quick;147689;54439;3912;9900;insertion;24472245;24482157;602492;9900;merge;119079;264232;13407;9900;quick;153123;75958;4310
10000;combined;143481;245209;7212;10000;dp_quick;158226;56346;4039;10000;insertion;25219383;25229390;620750;10000;merge;120490;267232;13559;10000;quick;150859;63654;4096
